TotalGHGEmissions,SiteEnergyUseWN(kBtu),log-SiteEnergyUseWN(kBtu),log-TotalGHGEmissions
153.73,5442962.0,15.509834139671387,5.041681662501581
113.5,16281221.0,16.605522977146762,4.740574822994295
569.61,54830920.0,17.81976484461286,6.346705964037678
47.24,6541579.0,15.693689284469233,3.87618855241893
1391.7,33231278.0,17.319002128906966,7.2389995880590465
530.7,58978248.0,17.892679272880866,6.2760794205102926
191.83,7206984.0,15.790561252594575,5.261808971731513
39.6,5542252.0,15.527911654752458,3.703768066607687
138.28,7758182.0,15.864258715257595,4.936486295459933
133.5,19166410.0,16.76866987788007,4.901564199041894
72.46,6674030.0,15.71373458317329,4.296741040391521
51.98,7456330.0,15.824574028139013,3.9699144838439238
1231.19,33881240.0,17.3383720563571,7.1165483529818845
266.78,11313893.0,16.241542085917892,5.590165747869233
20.06,2835493.0,14.857726730405062,3.0473755067058295
212.06,7353598.0,15.810700411208694,5.361573816183052
262.31,8210521.0,15.920927060406207,5.573332045272136
1241.23,62832808.0,17.955987931321825,7.12466343053395
72.9,3827042.0,15.157603000299773,4.302712827954156
52.46,7524880.0,15.833725554520683,3.978933710710773
496.99,49973408.0,17.727001601926005,6.210579996501756
209.67,25475474.0,17.053226782630343,5.350292928138379
136.6,21311882.0,16.874775362442318,4.924350925499243
38.65,5543575.0,15.528150337850724,3.680090948080857
27.37,3925806.0,15.183082493160356,3.34533224882076
83.13,12963244.0,16.377628603349578,4.432363221562722
233.43,5569582.0,15.532830743750827,5.457157035861426
52.67,2947197.0,14.896365446432688,3.9828541861887374
123.96,16644664.0,16.627600302624714,4.827993686091376
229.84,14681288.0,16.502084383835385,5.441724829842766
131.35,18841144.0,16.75155360021269,4.88544992867311
474.54,57439532.0,17.86624335244835,6.164451000424257
599.2,84976880.0,18.25788978922379,6.3972629330062665
250.25,10503717.0,16.167239847688922,5.526448459373285
116.84,16463978.0,16.61668546154495,4.769327772154375
134.86,18890476.0,16.754168490614678,4.911624943763156
13.33,1912690.0,14.464021708977269,2.6623552418400807
132.56,3837262.0,15.160269910012772,4.894550815075454
9.47,1358022.0,14.12154052362893,2.3485140248824456
189.88,16948562.0,16.64569360943575,5.251644958349606
4.49,624180.0,13.34419566939367,1.7029282555214393
33.76,4940376.0,15.412952202041676,3.548467300397191
21.38,3180097.0,14.97242257189157,3.108167702883779
44.54,6388260.0,15.669972645340865,3.8185910606355935
30.87,4987947.0,15.422535160707675,3.461665128429245
42.23,6480521.0,15.684311620639589,3.7665346986795405
41.98,6022054.0,15.610939121160454,3.7607348912143643
33.77,4843538.0,15.393156209844651,3.5487549460197703
88.5,4458534.0,15.310330794700084,4.4942386252808095
32.52,4899125.0,15.404567379824568,3.5121422756138823
474.59,25148774.0,17.040319745570283,6.164556138523246
324.63,19511098.0,16.78649404109995,5.7857617674761155
41.16,5982053.0,15.60427454521253,3.741471904233107
36.71,5266498.0,15.47687637337929,3.6299253112702656
62.01,7912423.0,15.883944740333147,4.143293443953964
37.62,3177375.0,14.97156625689403,3.653770277000368
626.54,31329744.0,17.26007852373151,6.441807413994232
84.93,11498184.0,16.257699754790675,4.453533011325132
127.78,7452749.0,15.82409364976172,4.858105522110037
75.43,8729877.0,15.982261952918595,4.336375289254793
66.6,3131150.0,14.956911226549025,4.213607983048918
23.12,3603748.0,15.097485250445983,3.1830413718589847
25.75,4059568.0,15.216587368307326,3.2865344733420154
25.06,3978308.0,15.19636741260407,3.260401571696699
22.02,3158743.0,14.965685038197181,3.1363634032937364
21.84,3512299.0,15.071781651501244,3.1285133847878095
493.09,19946232.0,16.80855086141588,6.202717686828843
85.13,9342579.0,16.05009300332358,4.455857782801083
